Route,Mode,WeeksAhead,EcoPassengerCO2,Raw travel time,Ticket price
Berlin-Warsaw,Plane,1,156,85,181
Berlin-Warsaw,Plane,2,156,85,175
Berlin-Warsaw,Plane,3,156,85,175
Berlin-Warsaw,Plane,4,156,85,175
Berlin-Warsaw,Plane,5,156,85,178
Berlin-Warsaw,Plane,6,156,85,175
Berlin-Warsaw,Train,1,56,379,47
Berlin-Warsaw,Train,2,56,388,37
Berlin-Warsaw,Train,3,56,383,36
Berlin-Warsaw,Train,4,56,383,33
Berlin-Warsaw,Train,5,56,382,33
Berlin-Warsaw,Train,6,56,383,30
London-Amsterdam,Plane,1,125,65,78
London-Amsterdam,Plane,2,125,65,60
London-Amsterdam,Plane,3,125,65,58
London-Amsterdam,Plane,4,125,65,50
London-Amsterdam,Plane,5,125,65,32
London-Amsterdam,Plane,6,125,65,29
London-Amsterdam,Train,1,14,221,173
London-Amsterdam,Train,2,14,221,121
London-Amsterdam,Train,3,14,221,97
London-Amsterdam,Train,4,14,221,78
London-Amsterdam,Train,5,14,226,44
London-Amsterdam,Train,6,14,221,49
London-Marseille,Plane,1,311,120,121
London-Marseille,Plane,2,311,120,109
London-Marseille,Plane,3,311,120,91
London-Marseille,Plane,4,311,120,66
London-Marseille,Plane,5,311,120,27
London-Marseille,Plane,6,311,120,26
London-Marseille,Train,1,36,390,217
London-Marseille,Train,2,36,390,180
London-Marseille,Train,3,36,390,256
London-Marseille,Train,4,36,390,156
London-Marseille,Train,5,36,389,82
London-Marseille,Train,6,36,388,99
Munich-Budapest,Plane,1,168,70,411
Munich-Budapest,Plane,2,168,70,267
Munich-Budapest,Plane,3,168,70,191
Munich-Budapest,Plane,4,168,70,172
Munich-Budapest,Plane,5,168,70,167
Munich-Budapest,Plane,6,168,70,163
Munich-Budapest,Train,1,18,417,86
Munich-Budapest,Train,2,18,413,76
Munich-Budapest,Train,3,18,414,69
Munich-Budapest,Train,4,18,413,62
Munich-Budapest,Train,5,18,413,57
Munich-Budapest,Train,6,18,413,56
Paris-Barcelona,Plane,1,238,110,100
Paris-Barcelona,Plane,2,238,110,73
Paris-Barcelona,Plane,3,238,110,29
Paris-Barcelona,Plane,4,238,110,23
Paris-Barcelona,Plane,5,238,110,21
Paris-Barcelona,Plane,6,238,110,41
Paris-Barcelona,Train,1,11,396,145
Paris-Barcelona,Train,2,11,390,138
Paris-Barcelona,Train,3,11,390,103
Paris-Barcelona,Train,4,11,385,109
Paris-Barcelona,Train,5,11,387,105
Paris-Barcelona,Train,6,11,387,110
Zurich-Milan,Plane,1,104,65,125
Zurich-Milan,Plane,2,104,65,125
Zurich-Milan,Plane,3,104,65,118
Zurich-Milan,Plane,4,104,65,122
Zurich-Milan,Plane,5,104,65,118
Zurich-Milan,Plane,6,104,65,118
Zurich-Milan,Train,1,3,206,67
Zurich-Milan,Train,2,3,206,42
Zurich-Milan,Train,3,3,206,41
Zurich-Milan,Train,4,3,206,35
Zurich-Milan,Train,5,3,206,33
Zurich-Milan,Train,6,3,206,30
